,mutual_info
fatigue,0.5862896779460076
vomiting,0.5736504139496093
high_fever,0.5312053609909522
loss_of_appetite,0.5072582126476936
nausea,0.4992122316927612
headache,0.4901145376804227
abdominal_pain,0.4748986571076556
yellowish_skin,0.4406985133967708
yellowing_of_eyes,0.43163781670269896
chills,0.4111540029257815
skin_rash,0.39919833008999733
malaise,0.3952785354839248
chest_pain,0.38999861573968353
joint_pain,0.37413749880865693
itching,0.3688205742756314
sweating,0.3688205742756314
dark_urine,0.3343722929335707
diarrhoea,0.32879958509771234
cough,0.32879958509771234
muscle_pain,0.3121273298238927
irritability,0.31212732982389263
excessive_hunger,0.29694934841832143
lethargy,0.2893342387396989
weight_loss,0.2893342387396989
breathlessness,0.2834562606527173
mild_fever,0.25381531661183765
phlegm,0.25381531661183765
swelled_lymph_nodes,0.24584387711347977
loss_of_balance,0.23784981009078354
blurred_and_distorted_vision,0.23784981009078354
dizziness,0.23158756610457415
abnormal_menstruation,0.194908687187817
muscle_weakness,0.18642824136711844
depression,0.18642824136711844
fast_heart_rate,0.18642824136711844
red_spots_over_body,0.18642824136711844
back_pain,0.1796697784974883
obesity,0.1779149610999201
neck_pain,0.1779149610999201
stiff_neck,0.1779149610999201
family_history,0.1779149610999201
painful_walking,0.1779149610999201
swelling_joints,0.1779149610999201
mood_swings,0.1779149610999201
constipation,0.1779149610999201
restlessness,0.1779149610999201
indigestion,0.17112284262002794
continuous_sneezing,0.17112284262002794
acidity,0.17112284262002794
stomach_pain,0.17112284262002794
burning_micturition,0.16429620285000837
increased_appetite,0.11466528220290728
loss_of_smell,0.11466528220290728
slurred_speech,0.11466528220290728
brittle_nails,0.11466528220290728
enlarged_thyroid,0.11466528220290728
runny_nose,0.11466528220290728
redness_of_eyes,0.11466528220290728
congestion,0.11466528220290728
pain_behind_the_eyes,0.11466528220290728
sinus_pressure,0.11466528220290728
throat_irritation,0.11466528220290728
rusty_sputum,0.11466528220290728
receiving_unsterile_injections,0.11466528220290728
coma,0.11466528220290728
receiving_blood_transfusion,0.11466528220290728
polyuria,0.11466528220290728
blood_in_sputum,0.11466528220290728
swollen_extremeties,0.11466528220290728
palpitations,0.11466528220290728
stomach_bleeding,0.11466528220290728
yellow_crust_ooze,0.10529304260849881
prominent_veins_on_calf,0.10529304260849881
distention_of_abdomen,0.10529304260849881
history_of_alcohol_consumption,0.10529304260849881
red_sore_around_nose,0.10529304260849881
blister,0.10529304260849881
bloody_stool,0.10529304260849881
cramps,0.10529304260849881
pain_in_anal_region,0.10529304260849881
irritation_in_anus,0.10529304260849881
pain_during_bowel_movements,0.10529304260849881
acute_liver_failure,0.10529304260849881
irregular_sugar_level,0.10529304260849881
yellow_urine,0.10529304260849881
anxiety,0.10529304260849881
cold_hands_and_feets,0.10529304260849881
weight_gain,0.10529304260849881
passage_of_gases,0.10529304260849881
continuous_feel_of_urine,0.10529304260849881
altered_sensorium,0.10529304260849881
swelling_of_stomach,0.10529304260849881
bruising,0.10529304260849881
movement_stiffness,0.10529304260849881
drying_and_tingling_lips,0.10529304260849881
toxic_look_(typhos),0.10529304260849881
internal_itching,0.10529304260849881
hip_joint_pain,0.10529304260849881
knee_pain,0.10529304260849881
unsteadiness,0.10529304260849881
inflammatory_nails,0.10529304260849881
small_dents_in_nails,0.10529304260849881
skin_peeling,0.10529304260849881
silver_like_dusting,0.10529304260849881
fluid_overload_2,0.10529304260849881
mucoid_sputum,0.10529304260849881
belly_pain,0.10529304260849881
visual_disturbances,0.10529304260849881
bladder_discomfort,0.10529304260849881
puffy_face_and_eyes,0.10529304260849881
swollen_legs,0.10529304260849881
lack_of_concentration,0.10529304260849881
nodal_skin_eruptions,0.09760988340597548
sunken_eyes,0.09760988340597548
dehydration,0.09760988340597548
weakness_in_limbs,0.09760988340597548
shivering,0.09760988340597548
ulcers_on_tongue,0.09760988340597548
muscle_wasting,0.09760988340597548
spotting_urination,0.09760988340597548
patches_in_throat,0.09760988340597548
extra_marital_contacts,0.09760988340597548
swollen_blood_vessels,0.09760988340597548
watering_from_eyes,0.09760988340597548
weakness_of_one_body_side,0.09760988340597548
spinning_movements,0.09760988340597548
dischromic_patches,0.09760988340597548
blackheads,0.09760988340597548
pus_filled_pimples,0.09760988340597548
scurring,0.09760988340597548
foul_smell_of_urine,0.09056331110668282
